variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	notes
group_1273	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
gor	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_1275	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
nrdD	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_1289	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
aat	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
cysB	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_136	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_1367	9.89E-01	2.89E-01	1.00E+00	3.47E-01	6.77E+00	-2.00E+00	5.77E-01	-1.46E+00	2.53E+00	2.06E+00	1.63E+00	2.74E+00	-2.57E+00	-3.56E+00	2.32E+00	2.77E+00	-2.18E+00	7.90E-01	bad-chisq
group_1371	9.89E-01	8.06E-01	1.00E+00	-8.10E-01	6.72E+00	-8.83E-01	5.79E-01	-1.46E+00	2.60E+00	2.08E+00	1.67E+00	2.76E+00	-2.56E+00	-3.60E+00	2.44E+00	2.87E+00	-2.26E+00	8.08E-01	bad-chisq
group_13758	9.89E-01	1.21E-01	4.17E-01	-1.39E+00	6.72E+00	-2.86E-01	5.44E-01	-1.63E+00	2.41E+00	2.01E+00	1.64E+00	2.69E+00	-2.43E+00	-3.47E+00	2.37E+00	2.73E+00	-2.27E+00	8.33E-01	bad-chisq
pvdO	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
oprM_4	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_13929	9.89E-01	1.21E-01	5.00E-01	-1.15E+00	6.72E+00	-5.24E-01	5.89E-01	-1.43E+00	2.45E+00	2.06E+00	1.61E+00	2.70E+00	-2.44E+00	-3.47E+00	2.37E+00	2.74E+00	-2.28E+00	8.24E-01	bad-chisq
group_14063	9.89E-01	4.26E-03	8.42E-02	-2.34E+00	6.70E+00	6.66E-01	5.42E-01	-1.29E+00	2.35E+00	1.97E+00	1.62E+00	2.55E+00	-2.40E+00	-3.44E+00	2.35E+00	2.71E+00	-2.26E+00	8.19E-01	bad-chisq
group_1434	9.89E-01	2.89E-01	1.00E+00	1.01E+00	6.76E+00	-2.66E+00	5.61E-01	-1.46E+00	2.53E+00	2.05E+00	1.64E+00	2.76E+00	-2.50E+00	-3.56E+00	2.36E+00	2.72E+00	-2.24E+00	8.43E-01	bad-chisq
group_1521	9.89E-01	1.21E-01	3.72E-01	-1.40E+00	6.72E+00	-2.95E-01	5.26E-01	-1.45E+00	2.56E+00	2.09E+00	1.69E+00	2.74E+00	-2.50E+00	-3.50E+00	2.33E+00	2.68E+00	-2.29E+00	8.07E-01	bad-chisq
